order_date,actual_revenue,predicted_revenue,absolute_error,is_spike_day
2011-12-09,200918.98,61446.344,139472.636,True
2011-11-14,114237.4,61340.176,52897.223999999995,True
2011-09-20,109553.9,69391.04,40162.86,True
2011-09-26,29270.841,59888.035,30617.194000000003,False
2011-10-03,66243.94,37143.965,29099.975000000006,False
2011-12-08,82371.55,53500.14,28871.410000000003,True
2011-10-05,75460.77,46741.688,28719.082000000002,True
2011-11-07,85705.3,59324.242,26381.058000000005,True
2011-09-13,55071.3,28733.57,26337.730000000003,False
2011-09-15,78151.97,52611.78,25540.190000000002,True
