feature,importance
large_order_flag,0.5168075
daily_orders,0.11509286
rolling_mean_7,0.09610887
is_weekend,0.06657314
largest_single_transaction,0.052608382
avg_transaction_value,0.04596582
revenue_growth_7d,0.031185795
daily_active_customers,0.020751072
rolling_std_7,0.010894516
day_of_week,0.010790929
rolling_mean_14,0.005624435
rolling_std_14,0.005125385
orders_growth_7d,0.004790487
revenue_lag_7,0.0035730163
orders_lag_7,0.003428007
orders_lag_1,0.0029483626
month,0.0025403018
week_of_year,0.0016830453
revenue_lag_28,0.0013754887
revenue_lag_14,0.0012016398
revenue_lag_1,0.0009308897
is_peak_season,0.0
is_public_holiday,0.0
holiday_peak_period,0.0
